"RESPNUM","CCGID","TERM","STRATA","ATYPE","AIRLINE","DEST","GATENUM","INTDATE","Q1","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3A","Q4A","Q4B","Q4C","Q5","Q5AVG","SAQ","Q6A","Q6B","Q6C","Q6D","Q6E","Q6F","Q6G","Q6H","Q6I","Q6J","Q6K","Q6L","Q6M","Q6N","Q7COM1","Q7COM2","Q7COM3","Q7A1","Q7A2","Q7A3","Q8A","Q8B","Q8C","Q8D","Q8E","Q8F","Q8COM1","Q8COM2","Q8COM3","Q9","Q9APOS1","Q9APOS2","Q9APOS3","Q9ANEG1","Q9ANEG2","Q9ANEG3","Q9ANTR1","Q9ANTR2","Q9ANTR3","Q10","Q11","Q11A1","Q11A2","Q11A3","Q12","Q13A","Q13B","Q13_COM","Q13COM1","Q13COM2","Q13COM3","Q14","Q14A","Q14A1","Q14A2","Q14A3","Q15","SFFLAG","COUNTRY","Q17","AGE","Q18","Q19","INC","MAIL","LANG","DESTMARK","DESTINATION","DESTGEO","WEIGHT","Location 1"
"383","606","1","1","1","12","2","44","6","2","1","8",,,,,"4","11",,,,,"9","1","2","2","3","4.5","2","3","1","2","4","3","3","3","3","2","6","3","6","3","3","8",,,,,,"4","2","4","3","4","2",,,,"5",,,,,,,,,,"2",,,,,"12","4","4",,,,,"2",,,,,"2","4","62","3","29.5","1","2","75,000","1","1","2","SALT LAKE CI","1","1.013018",
"384","607","1","1","1","12","2","44","6","2","1","8",,,,,"4","11",,,,,"9","0","1","0","5","18.5","2","5","4","3","3","4","4","3","3","4","6","6","6","6","4","7",,,,,,"4","4","6","6","4","3",,,,"5","1",,,,,,,,,"1","3",,,,"5","5","0",,"2",,,"2",,,,,"2","4","62","4","39.5","1","4","175,000","1","1","2","SALT LAKE CI","1","1.013018",
"385","608","1","1","1","12","2","44","6","2","4","8",,,,,"5","11",,,,,"9","2","2","1","1","1","2","6","6","6","4","4","4","6","4","6","6","5","6","6","4",,,,,,,"3","6","4","6","6","4",,,,"4",,,,,,,,,,"2",,,,,"2","3","4",,,,,"1",,"9",,,"2","4","62","6","59.5","2","1","25,000","1","1","2","SALT LAKE CI","1","1.013018",
"386","609","1","1","1","12","2","44","6","2","3","8",,,,,"4","11",,,,,"9","0","1","0","3","4.5","2","4","4","4","4","4","4","4","4","6","6","6","6","6","5",,,,,,,"3","3","3","3","3","3",,,,"4",,,,,,,,,,"2",,,,,"5","5","0",,,,,"2",,,,,"1","1","62","2","21","1","1","25,000","1","1","2","SALT LAKE CI","1","1.013018",
"387","610","1","1","1","12","2","44","6","2","1","8",,,,,"8","11",,,,,"9","1","2","1","1","1","2","3","4","6","4","6","4","6","6","6","6","6","6","6","4","90",,,,,,"4","6","4","6","4","3",,,,"5",,,,,,,,,,"2",,,,,"4","5","2",,,,,"2",,,,,"2","4","62","6","59.5","1","4","175,000","1","1","2","SALT LAKE CI","1","1.013018",
"388","694","2","3","2","22","3","4","7","1","3","8",,,,,"3","11",,,,,"9","1","2","1","3","4.5","1","4","2","3","2","4","4","6","4","6","6","6","6","6","4","51","95",,"90",,,"3","6","6","6","3","4",,,,"3",,,,,,,"17",,,"1","4","4","6",,"11","3","1",,"6",,,"1",,"8",,,"3","4","10","3","29.5","2","2","75,000","1","1","3","SYDNEY","9","0.636476",
"389","695","2","3","2","22","3","4","7","2","8",,,,,,"6","11",,,,,"9","1","1","1","1","1","1","4","3","3","5","4","3","6","6","6","6","6","6","6","4",,,,,,,"3","6","6","6","3","6",,,,"5",,,,,,,,,,"2",,,,,"5","5","5",,,,,"2",,,,,"2","4","2","4","39.5","2","4","175,000","1","1","3","SYDNEY","9","0.636476",
"390","696","2","3","2","22","3","4","7","1","8",,,,,,"3","11",,,,,"9","1","2","1","1","1","1","6","3","3","4","4","3","6","6","6","6","4","6","6","4",,,,,,,"5","6","5","6","5","5",,,,"5",,,,,,,,,,"2",,,,,"11","5","5",,,,,"2",,,,,"3","4","2","3","29.5","1","2","75,000","1","1","3","SYDNEY","9","0.636476",
"391","697","2","3","2","22","3","4","7","1","8",,,,,,"3","11",,,,,"9","2","1","1","1","1","1","4","3","3","4","2","4","6","6","6","6","6","6","6","4",,,,,,,"4","6","6","6","4","5",,,,"5",,,,,,,,,,"2",,,,,"11","1","4",,"7",,,"1",,"3",,,"3","4","2","5","49.5","2","0",,"1","1","3","SYDNEY","9","0.636476",
"392","698","2","3","2","22","3","4","7","2","3","8",,,,,"6","11",,,,,"9","1","2","1","1","1","1","3","4","3","5","4","3","6","6","6","6","6","6","6","4",,,,,,,"4","6","6","6","4","3",,,,"5",,,,,,,,,,"2",,,,,"7","5","4",,,,,"2",,,,,"1","13","62","3","29.5","1","2","75,000","1","1","3","SYDNEY","9","0.636476",
"393","699","2","3","2","22","3","4","7","2","8",,,,,,"9","11",,,,,"9","1","2","1","2","2","1","3","4","6","4","5","6","6","6","4","6","4","6","4","4",,,,,,,"5","6","5","5","4","6",,,,"4",,,,,,,,,,"2",,,,,"7","5","3",,"1",,,"2",,,,,"2","4","2","3","29.5","2","0",,"1","1","3","SYDNEY","9","0.636476",
"394","700","2","3","2","22","3","4","7","2","8",,,,,,"2","11",,,,,"9","1","1","2","2","2","1","6","6","6","4","4","4","6","6","6","6","6","6","6","4",,,,,,,"5","6","6","6","6","4",,,,"3",,,,,,,"17",,,"1","4",,,,"2","5","5",,,,,"2",,,,,"2","4","2","6","59.5","2","4","175,000","1","1","3","SYDNEY","9","0.636476",
"395","701","2","3","2","22","3","4","7","1","8",,,,,,"3","11",,,,,"9","2","2","1","1","1","1","5","4","6","3","4","6","6","6","6","6","6","6","6","4",,,,,,,"4","6","6","6","3","6","1","11",,"5",,,,,,,,,,"2",,,,,"11","3","5",,,,,"2",,,,,"3","4","2","3","29.5","2","2","75,000","1","1","3","SYDNEY","9","0.636476",
"396","702","2","3","2","22","3","4","7","2","3","8",,,,,"2","11",,,,,"9","1","1","1","1","1","1","5","6","6","5","5","5","6","6","5","6","6","6","6","4",,,,,,,"4","6","6","6","3","4",,,,"4",,,,,,,,,,"2",,,,,"7","5","5",,,,,"2",,,,,"1","13","62","4","39.5","2","0",,"1","1","3","SYDNEY","9","0.636476",
"397","703","2","3","2","22","3","4","7","1","8",,,,,,"3","11",,,,,"9","2","1","1","1","1","1","4","2","2","3","3","3","6","6","6","6","6","6","6","4",,,,,,,"3","6","6","6","3","4",,,,"5",,,,,,,,,,"2",,,,,"11","5","3",,,,,"2",,,,,"3","4","2","5","49.5","1","3","125,000","1","1","3","SYDNEY","9","0.636476",
"398","704","2","3","2","22","3","4","7","2","8",,,,,,"4","11",,,,,"9","1","1","1","1","1","1","4","3","3","4","4","6","6","6","6","6","6","6","6","4",,,,,,,"4","6","6","6","4","6",,,,"5",,,,,,,,,,"2",,,,,"5","5","4",,,,,"2",,,,,"2","4","2","3","29.5","1","4","175,000","1","1","3","SYDNEY","9","0.636476",
"399","705","2","3","2","22","3","4","7","2","8",,,,,,"6","11",,,,,"9","1","2","1","1","1","1","6","3","2","4","5","6","6","6","6","6","6","6","6","4",,,,"2",,,"4","6","6","6","4","6",,,,"5",,,,,,,,,,"2",,,,,"5","3","4",,,,,"2",,,,,"2","4","2","3","29.5","2","2","75,000","1","1","3","SYDNEY","9","0.636476",
"400","706","2","3","2","22","3","4","7","2","2","8",,,,,"6","11",,,,,"9","1","1","1","1","1","2","3","3","3","5","3","5","5","5","4","6","6","6","6","4",,,,,,,"5","6","6","6","4","4",,,,"4",,,,,,,,,,"2",,,,,"5","5","5",,,,,"2",,,,,"2","4","2","5","49.5","2","3","125,000","1","1","3","SYDNEY","9","0.636476",
"401","182","1","2","1","6","1","22","2","2","3","8",,,,,"2","11",,,,,"9","2","2","2","4","9.5","1","4","3","3","3","2","3","3","3","4","3","6","6","6","3","38",,,"23",,,"2","6","6","6","3","3",,,,"3",,,,,,,,,,"2",,,,,"6","3","2",,,,,"2",,,,,"2","3","62","5","49.5","2","4","175,000","1","1","1","PALM SPRINGS","1","1.013018",
"402","183","1","2","1","6","1","22","2","2","3","8",,,,,"5","11",,,,,"9","1","2","2","4","9.5","1","3","3","3","5","5","5","4","6","5","5","5","4","6","5",,,,,,,"4","4","5","6","4","5",,,,"5",,,,,,,,,,"1","5","11",,,"5","5","4",,,,,"2",,,,,"2","3","62","5","49.5","1","4","175,000","1","1","1","PALM SPRINGS","1","1.013018",
